Dbid,Status,Name,Type,Layer,GUID,SETS
2670,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f90,ARRI - PAREDE ARRIMO 3
2671,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2672,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f96,ARRI - PAREDE ARRIMO 3
2673,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2674,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f94,ARRI - PAREDE ARRIMO 3
2675,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2676,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f9a,ARRI - PAREDE ARRIMO 3
2677,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2678,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f98,ARRI - PAREDE ARRIMO 3
2679,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2680,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f9e,ARRI - PAREDE ARRIMO 3
2681,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2682,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f9c,ARRI - PAREDE ARRIMO 3
2683,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2684,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f82,ARRI - PAREDE ARRIMO 3
2685,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2686,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f80,ARRI - PAREDE ARRIMO 3
2687,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2688,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f86,ARRI - PAREDE ARRIMO 3
2689,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2690,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f84,ARRI - PAREDE ARRIMO 3
2691,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2692,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f8a,ARRI - PAREDE ARRIMO 3
2693,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2694,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93f88,ARRI - PAREDE ARRIMO 3
2695,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2696,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d512,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2697,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2698,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d510,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2699,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2700,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d516,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2701,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2702,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d514,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2703,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2704,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d518,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2705,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2706,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d51e,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2707,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2708,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d51c,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2709,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2710,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d502,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2711,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2712,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d506,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2713,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2714,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d504,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2715,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2716,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d50a,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2717,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2718,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d508,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2719,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2720,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d50c,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2721,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2722,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d532,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2723,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2724,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d530,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2725,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2726,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d536,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2727,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2728,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d53a,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2729,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2730,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d538,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2731,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2732,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d53e,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2733,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2734,N/A,20x20cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d53c,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2735,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2736,N/A,30x60cm,Type,Loja 01 e 02-EST,,
2737,N/A,30x60cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e92044,ARRI - BASE ARRIMO 3
2738,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2739,N/A,30x60cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e9204a,ARRI - BASE ARRIMO 3
2740,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2741,N/A,30x60cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e9204e,ARRI - BASE ARRIMO 3
2742,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2743,N/A,30x60cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d4e4,ARRI - BASE ARRIMO 4 - TRECHO 2
2744,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2745,N/A,40x30cm,Type,Loja 01 e 02-EST,,
2746,N/A,40x30cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d4ea,ARRI - BASE ARRIMO 4 - TRECHO 2
2747,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2748,N/A,40x30cm,8mm Extremidade superior,Loja 01 e 02-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d4e8,ARRI - BASE ARRIMO 4 - TRECHO 2
2749,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2750,N/A,25X56cm,Type,Loja 01 e 02-EST,,
2751,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9bc2e,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2752,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2753,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9bf87,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2754,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2755,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9bf15,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2756,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2757,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9bf76,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2758,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2759,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9bea2,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2760,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2761,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9be0f,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2762,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2763,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9be4e,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2764,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2765,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9b9d8,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2766,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2767,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9b9f7,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2768,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2769,N/A,25X56cm,8mm Extremidade superior,Loja 01 e 02-EST,9dd7d586-9527-495d-be5b-1d292ac9b8b2,FUN - FUN - SAPATAS CORRIDAS - TRECHO 1
2770,N/A,@Concreto,Solid,Loja 01 e 02-EST,,
2771,N/A,Loja 07-EST,Níveis: Nível: ARQ_Nivel_Auxiliar,Loja 07-EST,,
2772,N/A,Paredes,Category,Loja 07-EST,,
2773,N/A,Parede básica,Family,Loja 07-EST,,
2774,N/A,PA-190-Osso/Alvenaria19cm/Osso,Type,Loja 07-EST,,
2775,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd1,ARRI - PAREDE ARRIMO 3
2776,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2777,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd0,ARRI - PAREDE ARRIMO 3
2778,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2779,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd7,ARRI - PAREDE ARRIMO 3
2780,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2781,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd6,ARRI - PAREDE ARRIMO 3
2782,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2783,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd5,ARRI - PAREDE ARRIMO 3
2784,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2785,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd4,ARRI - PAREDE ARRIMO 3
2786,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2787,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fdb,ARRI - PAREDE ARRIMO 3
2788,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2789,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fda,ARRI - PAREDE ARRIMO 3
2790,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2791,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd9,ARRI - PAREDE ARRIMO 3
2792,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2793,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fd8,ARRI - PAREDE ARRIMO 3
2794,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2795,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fdf,ARRI - PAREDE ARRIMO 3
2796,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2797,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fde,ARRI - PAREDE ARRIMO 3
2798,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2799,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fdd,ARRI - PAREDE ARRIMO 3
2800,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2801,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fdc,ARRI - PAREDE ARRIMO 3
2802,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2803,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fc3,ARRI - PAREDE ARRIMO 3
2804,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2805,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fc2,ARRI - PAREDE ARRIMO 3
2806,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2807,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fc1,ARRI - PAREDE ARRIMO 3
2808,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2809,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fc0,ARRI - PAREDE ARRIMO 3
2810,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2811,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e93fc7,ARRI - PAREDE ARRIMO 3
2812,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2813,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d524,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2814,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2815,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d52b,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2816,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2817,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d52a,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2818,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2819,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 07-EST,fbfe20d0-87c2-4a13-84ad-71ac77e8d529,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2820,N/A,@BlocoConcreto14,Solid,Loja 07-EST,,
2821,N/A,Loja 08-ARQ,Níveis: Nível: ARQ_Nivel_Auxiliar,Loja 08-ARQ,,
2822,N/A,Paredes,Category,Loja 08-ARQ,,
2823,N/A,Parede básica,Family,Loja 08-ARQ,,
2824,N/A,PA-190-Osso/Alvenaria19cm/Osso,Type,Loja 08-ARQ,,
2825,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fc6,ARRI - PAREDE ARRIMO 3
2826,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2827,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fc5,ARRI - PAREDE ARRIMO 3
2828,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2829,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fc4,ARRI - PAREDE ARRIMO 3
2830,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2831,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fcb,ARRI - PAREDE ARRIMO 3
2832,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2833,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fca,ARRI - PAREDE ARRIMO 3
2834,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2835,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fc9,ARRI - PAREDE ARRIMO 3
2836,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2837,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fc8,ARRI - PAREDE ARRIMO 3
2838,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2839,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fcf,ARRI - PAREDE ARRIMO 3
2840,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2841,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fce,ARRI - PAREDE ARRIMO 3
2842,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2843,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fcd,ARRI - PAREDE ARRIMO 3
2844,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2845,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93fcc,ARRI - PAREDE ARRIMO 3
2846,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2847,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff3,ARRI - PAREDE ARRIMO 3
2848,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2849,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff2,ARRI - PAREDE ARRIMO 3
2850,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2851,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff1,ARRI - PAREDE ARRIMO 3
2852,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2853,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff0,ARRI - PAREDE ARRIMO 3
2854,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2855,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff7,ARRI - PAREDE ARRIMO 3
2856,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2857,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff6,ARRI - PAREDE ARRIMO 3
2858,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2859,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff5,ARRI - PAREDE ARRIMO 3
2860,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2861,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e93ff4,ARRI - PAREDE ARRIMO 3
2862,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2863,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d528,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2864,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2865,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d52f,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2866,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2867,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d52e,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2868,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2869,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d52d,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2870,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2871,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d52c,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2872,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2873,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d553,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2874,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2875,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d552,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2876,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2877,N/A,PA-190-Osso/Alvenaria19cm/Osso,8mm Extremidade superior,Loja 08-ARQ,fbfe20d0-87c2-4a13-84ad-71ac77e8d551,ARRI - PAREDE ARRIMO 4 - TRECHO 2
2878,N/A,@BlocoConcreto14,Solid,Loja 08-ARQ,,
2879,N/A,Marquise-EST,Níveis: Nível: 8mm Extremidade superior,Marquise-EST,,
2880,N/A,Pisos,Category,Marquise-EST,,
2881,N/A,Piso,Family,Marquise-EST,,
2882,N/A,PI-140-LajeConcreto,Type,Marquise-EST,,
2883,N/A,PI-140-LajeConcreto,8mm Extremidade superior,Marquise-EST,9afb1c2c-bbeb-4d89-a344-ec35a1d0deaa,1SS - ESTRUTURA - BLOCO 1
2884,N/A,@Concreto,Solid,Marquise-EST,,
2885,N/A,PI-140-LajeConcreto,8mm Extremidade superior,Marquise-EST,9afb1c2c-bbeb-4d89-a344-ec35a1d0dea2,1SS - ESTRUTURA - BLOCO 1
2886,N/A,@Concreto,Solid,Marquise-EST,,
2887,N/A,PI-140-LajeConcreto,8mm Extremidade superior,Marquise-EST,9afb1c2c-bbeb-4d89-a344-ec35a1d0ded5,1SS - ESTRUTURA - BLOCO 3
2888,N/A,@Concreto,Solid,Marquise-EST,,
2889,N/A,PI-140-LajeConcreto,8mm Extremidade superior,Marquise-EST,c10d0550-a2f9-433f-b242-131a477c4b35,1SS - ESTRUTURA - BLOCO 2
2890,N/A,@Concreto,Solid,Marquise-EST,,
2891,N/A,PI-140-LajeConcreto,8mm Extremidade superior,Marquise-EST,c10d0550-a2f9-433f-b242-131a477c4b80,1SS - ESTRUTURA - BLOCO 4
2892,N/A,@Concreto,Solid,Marquise-EST,,
